id,cp_code,name,address,address_postal,zone,longitude,latitude,x_coord,y_coord,rates,start_time,end_time,data_provider_id,remarks,capacity_car,capacity_mcycle,capacity_heavy,is_active,height_limit,height_advisory,special_advisory_info,carpark_operator_id,payment_types,carpark_types,location_point,version,created_at,updated_at,rate_id_car,rate_id_mcycle,rate_id_heavy,grace_period
30705,NULL,Victory 8,8 Jalan Legundi,NULL,NULL,103.8236932,1.4418407,26928.09,47057.61,NULL,0,2359,1,NULL,0,0,0,TRUE,NULL,NULL,NULL,1,EPS,NULL,0101000020E610000001FCAE63B7F45940FFAAC88DC711F73F,20221208,58:14.2,58:14.2,30705,NULL,NULL,10
30704,NULL,Tekka Place,2 Serangoon Road,NULL,NULL,103.852227,1.304627,30103.9,31885.34,NULL,0,2359,2,NULL,0,0,0,TRUE,NULL,NULL,NULL,2,EPS,NULL,0101000020E61000002A711DE38AF6594050A8A78FC0DFF43F,20221208,58:14.2,58:14.2,30704,NULL,NULL,15
30703,NULL,Rochester Mall,35 Rochester Drive,NULL,NULL,103.7884467,1.3054077,23005.16,31971.66,NULL,0,2359,3,NULL,0,0,0,TRUE,NULL,NULL,NULL,3,EPS,NULL,0101000020E6100000E7C825E975F259403025372FF3E2F43F,20221208,58:14.2,58:14.2,30703,NULL,NULL,0
30702,NULL,Punggol Plaza,168 Punggol Field,NULL,NULL,103.9130473,1.3942372,36873.2,41793.9,NULL,0,2359,4,NULL,0,0,0,TRUE,NULL,NULL,NULL,4,EPS,NULL,0101000020E6100000DF4CF15D6FFA5940A4DD8DAACB4EF63F,20221208,58:14.2,58:14.2,30702,NULL,NULL,15
30701,NULL,Loyang Point,259 Pasir Ris Street 21,NULL,NULL,103.9645985,1.3664536,42610.85,38721.75,NULL,0,2359,1,NULL,0,0,0,TRUE,2,NULL,NULL,5,EPS,NULL,0101000020E610000052D158FBBBFD594001063873FEDCF53F,20221208,58:14.2,58:14.2,30701,NULL,NULL,0
30700,NULL,JTC Food Hub @ Senoko,15 Senoko Drive,NULL,NULL,103.7987536,1.4605418,24152.32,49125.46,NULL,0,2359,2,NULL,0,0,0,TRUE,NULL,NULL,NULL,6,EPS,NULL,0101000020E6100000FC636BC71EF35940390E1714615EF73F,20221208,58:14.2,58:14.2,30700,NULL,NULL,15
30699,NULL,Yi Guang Factory Building,180 Paya Lebar Road,NULL,NULL,103.8899942,1.3308602,34307.39,34786.05,NULL,0,2359,3,NULL,0,0,0,TRUE,NULL,NULL,NULL,7,EPS,NULL,0101000020E61000004DA83BAAF5F85940B0C4A810344BF53F,20221208,58:14.2,58:14.2,30699,NULL,NULL,10
30698,NULL,D Lithium,82 Playfair Road,NULL,NULL,103.8854317,1.3372217,33799.59,35489.47,NULL,0,2359,4,NULL,0,0,0,TRUE,2,NULL,NULL,8,EPS,NULL,0101000020E6100000DE95B8E9AAF859403D06D0944265F53F,20221208,58:14.2,58:14.2,30698,NULL,NULL,10
30697,NULL,Singapore Handicrafts Building,72 Eunos Avenue 7,NULL,NULL,103.8985283,1.3234015,35257.24,33961.31,NULL,0,2359,1,NULL,0,0,0,TRUE,NULL,NULL,NULL,9,EPS,NULL,0101000020E6100000F3C1D77C81F9594033A31F0DA72CF53F,20221208,58:14.2,58:14.2,30697,NULL,NULL,0
30696,NULL,Sin Ming Autocity,160 Sin Ming Drive,NULL,NULL,103.8386619,1.3595332,28594.11,37956.54,NULL,0,2359,2,NULL,0,0,0,TRUE,NULL,NULL,NULL,10,EPS,NULL,0101000020E6100000AE39F6A2ACF559403A387DE2A5C0F53F,20221208,58:14.1,58:14.1,30696,NULL,NULL,15
